id,tc_name,sc_name
245,過期鑲鐵小圓盾,过期镶铁小圆盾
246,過期青銅步兵盾,过期青铜步兵盾
247,過期黑鐵重盾,过期黑铁重盾
248,過期橡木圓盾,过期橡木圆盾
249,過期水牛皮盾,过期水牛皮盾
250,過期鑲銀小圓盾,过期镶银小圆盾
251,過期機關盾,过期机关盾
252,過期黑鐵步兵盾,过期黑铁步兵盾
253,過期黑鐵輕盾,过期黑铁轻盾
254,過期海蛇圓盾,过期海蛇圆盾
255,過期佩劍機關盾,过期佩剑机关盾
256,過期盜龍皮盾,过期盗龙皮盾
257,過期鑲銀步兵盾,过期镶银步兵盾
258,過期公牛重盾,过期公牛重盾
259,過期青銅手鋸,过期青铜手锯
260,過期陸行鳥手鋸,过期陆行鸟手锯
261,過期魚腥手鋸,过期鱼腥手锯
262,過期黑鐵手鋸,过期黑铁手锯
263,過期黑鐵雕紋手鋸,过期黑铁雕纹手锯
264,過期橫切手鋸,过期横切手锯
265,過期黑鐵陸行鳥手鋸,过期黑铁陆行鸟手锯
266,過期青銅羊角錘,过期青铜羊角锤
267,過期黑鐵羊角錘,过期黑铁羊角锤
268,過期白鋼羊角錘,过期白钢羊角锤
269,過期青銅橫頭錘,过期青铜横头锤
270,過期青銅鳥嘴錘,过期青铜鸟嘴锤
271,過期加強鳥嘴錘,过期加强鸟嘴锤
272,過期黑鐵橫頭錘,过期黑铁横头锤
273,過期黑鐵鳥嘴錘,过期黑铁鸟嘴锤
274,過期革柄鳥嘴錘,过期革柄鸟嘴锤
275,過期加重鳥嘴錘,过期加重鸟嘴锤
276,過期青銅銼刀,过期青铜锉刀
277,過期黑鐵銼刀,过期黑铁锉刀
278,過期拋光黑鐵銼刀,过期抛光黑铁锉刀
279,過期青銅甲冑錘,过期青铜铸甲锤
280,過期青銅圓頭錘,过期青铜圆头锤
281,過期錫銅圓頭錘,过期锡铜圆头锤
282,過期黑鐵甲冑錘,过期黑铁铸甲锤
283,過期黑鐵圓頭錘,过期黑铁圆头锤
284,過期革柄圓頭錘,过期革柄圆头锤
285,過期加重圓頭錘,过期加重圆头锤
286,過期青銅手鉗,过期青铜手钳
287,過期黑鐵手鉗,过期黑铁手钳
288,過期白鋼手鉗,过期白钢手钳
289,過期青銅金工錘,过期青铜雕金锤
290,過期青銅裝飾錘,过期青铜装饰锤
291,過期錫銅裝飾錘,过期锡铜装饰锤
292,過期黑鐵金工錘,过期黑铁雕金锤
293,過期加強裝飾錘,过期加强装饰锤
294,過期黑鐵裝飾錘,过期黑铁装饰锤
295,過期白鋼金工錘,过期白钢雕金锤
296,過期泥岩砂輪機,过期泥岩砂轮机
297,過期砂岩砂輪機,过期砂岩砂轮机
298,過期粉岩砂輪機,过期粉岩砂轮机
299,過期青銅裁皮刀,过期青铜裁皮刀
300,過期黃銅裁皮刀,过期黄铜裁皮刀
301,過期加重裁皮刀,过期加重裁皮刀
302,過期黑鐵圓革刀,过期黑铁圆革刀
303,過期黑鐵裁皮刀,过期黑铁裁皮刀
304,過期熏銀裁皮刀,过期熏银裁皮刀
305,過期白鋼圓革刀,过期白钢圆革刀
306,過期青銅平斬,过期青铜平斩
307,過期黑鐵平斬,过期黑铁平斩
308,過期白鋼平斬,过期白钢平斩
309,過期青銅縫針,过期青铜缝针
310,過期針鼴針,过期针鼹针
311,過期黑鐵縫針,过期黑铁缝针
312,過期白銀縫針,过期白银缝针
313,過期白鋼縫針,过期白钢缝针
314,過期仙人針,过期仙人针
315,過期楓木紡車,过期枫木纺车
316,過期榆木紡車,过期榆木纺车
317,過期胡桃紡車,过期胡桃纺车
318,過期橡木紡車,过期橡木纺车
319,過期紅銅蒸餾器,过期红铜蒸馏器
320,過期黃銅蒸餾器,过期黄铜蒸馏器
321,過期錫製蒸餾器,过期锡制蒸馏器
322,過期黑鐵蒸餾器,过期黑铁蒸馏器
323,過期特製蒸餾器,过期特制蒸馏器
324,過期白銀蒸餾器,过期白银蒸馏器
325,過期熱能蒸餾器,过期热能蒸馏器
326,過期青銅研缽,过期青铜研钵
327,過期黑鐵研缽,过期黑铁研钵
328,過期白鋼研缽,过期白钢研钵
329,過期青銅平底鍋,过期青铜平底锅
330,過期黑鐵平底鍋,过期黑铁平底锅
331,過期純白平底鍋,过期纯白平底锅
332,過期皇家平底鍋,过期皇家平底锅
333,過期黑鐵煎鍋,过期黑铁煎锅
334,過期白鋼平底鍋,过期白钢平底锅
335,過期炸彈煎鍋,过期爆弹煎锅
336,過期青銅廚刀,过期青铜厨刀
337,過期黑鐵廚刀,过期黑铁厨刀
338,過期秘銀廚刀,过期秘银厨刀
339,過期青銅十字鎬,过期青铜鹤嘴锄
340,過期白羽十字鎬,过期白羽鹤嘴锄
341,過期灰羽十字鎬,过期灰羽鹤嘴锄
342,過期鐵十字鎬,过期黑铁鹤嘴锄
343,過期拋光十字鎬,过期抛光鹤嘴锄
344,過期渡渡十字鎬,过期渡渡鹤嘴锄
345,過期黑鐵十字鎬,过期黑铁鹤嘴镐
346,過期青銅碎石錘,过期青铜碎石锤
347,過期黑鐵碎石錘,过期黑铁碎石锤
348,過期秘銀碎石錘,过期秘银碎石锤
349,過期青銅手斧,过期青铜手斧
350,過期陸行鳥手斧,过期陆行鸟手斧
351,過期灰羽手斧,过期灰羽手斧
352,過期黃銅手斧,过期黄铜手斧
353,過期黑鐵手斧,过期黑铁手斧
354,過期白鋼手斧,过期白钢手斧
355,過期兀鷲手斧,过期兀鹫手斧
356,過期青銅鐮刀,过期青铜镰刀
357,過期黑鐵鐮刀,过期黑铁镰刀
358,過期白鋼鐮刀,过期白钢镰刀
359,過期梣木釣竿,过期梣木钓竿
360,過期柳木釣竿,过期柳木钓竿
361,過期松木釣竿,过期松木钓竿
362,過期竹製釣竿,过期竹制钓竿
363,過期藤製釣竿,过期藤制钓竿
364,過期紫杉釣竿,过期紫杉钓竿
365,過期獸角釣竿,过期兽角钓竿
366,風化兜帽,风化兜帽
367,風化貝雷帽,风化贝雷帽
368,風化眼鏡,风化眼镜
369,風化頭巾,风化头巾
370,風化遮陽帽,风化遮阳帽
371,風化沙灘帽,风化沙滩帽
372,過期草布兜帽,过期草布兜帽
373,過期草布兜帽（棕褐）,过期草布兜帽（棕褐）
374,過期草布兜帽（鉛灰）,过期草布兜帽（铅灰）
375,過期草布兜帽（土黃）,过期草布兜帽（土黄）
376,過期草帽,过期草帽
377,過期草布頭巾,过期草布头巾
378,過期草布頭巾（土黃）,过期草布头巾（土黄）
379,過期草布頭巾（棕褐）,过期草布头巾（棕褐）
380,過期草布頭巾（鉛灰）,过期草布头巾（铅灰）
381,過期草布圍巾,过期草布围巾
382,過期草布圍巾（鉛灰）,过期草布围巾（铅灰）
383,過期草布圍巾（土黃）,过期草布围巾（土黄）
384,過期草布圍巾（棕褐）,过期草布围巾（棕褐）
385,過期草布貝雷帽,过期草布贝雷帽
386,過期草布貝雷帽（棕褐）,过期草布贝雷帽（棕褐）
387,過期草布貝雷帽（鉛灰）,过期草布贝雷帽（铅灰）
388,過期草布貝雷帽（土黃）,过期草布贝雷帽（土黄）
389,過期草布寬邊帽,过期草布宽边帽
390,過期草布寬邊帽（棕褐）,过期草布宽边帽（棕褐）
391,過期草布寬邊帽（鉛灰）,过期草布宽边帽（铅灰）
392,過期草布寬邊帽（土黃）,过期草布宽边帽（土黄）
393,過期柳桉半假面,过期柳桉半假面
394,過期牛皮草帽,过期牛皮草帽
395,過期草布包頭巾,过期草布包头巾
396,過期草布包頭巾（棕褐）,过期草布包头巾（棕褐）
397,過期草布包頭巾（鉛灰）,过期草布包头巾（铅灰）
398,過期草布包頭巾（土黃）,过期草布包头巾（土黄）
399,過期羊皮突騎帽,过期羊皮突骑帽
400,過期羊皮突騎帽（灰褐）,过期羊皮突骑帽（灰褐）
401,過期羊皮突騎帽（灰黑）,过期羊皮突骑帽（灰黑）
402,過期草布狩獵帽（棕褐）,过期草布狩猎帽（棕褐）
403,過期草布狩獵帽（鉛灰）,过期草布狩猎帽（铅灰）
404,過期草布狩獵帽（土黃）,过期草布狩猎帽（土黄）
405,過期羊皮盔帽,过期羊皮盔帽
406,過期草布圓錐帽,过期草布圆锥帽
407,過期草布圓錐帽（鉛灰）,过期草布圆锥帽（铅灰）
408,過期草布圓錐帽（棕褐）,过期草布圆锥帽（棕褐）
409,過期棉布兜帽,过期棉布兜帽
410,過期棉布兜帽（朱紅）,过期棉布兜帽（朱红）
411,過期草布兜帽（淡黃）,过期草布兜帽（淡黄）
412,過期草布兜帽（橄欖綠）,过期草布兜帽（橄榄绿）
413,過期草布兜帽（天藍）,过期草布兜帽（天蓝）
414,過期紅銅眼鏡,过期红铜眼镜
415,過期風化眼鏡（黑色）,过期风化眼镜（黑色）
416,過期風化眼鏡（綠色）,过期风化眼镜（绿色）
417,過期紅銅頭冠（日長石）,过期红铜头冠（日长石）
418,過期紅銅頭冠（天青石）,过期红铜头冠（天青石）
419,過期紅銅頭冠（榍石）,过期红铜头冠（榍石）
420,過期紅銅頭冠（孔雀石）,过期红铜头冠（孔雀石）
421,過期紅銅頭冠（螢石）,过期红铜头冠（萤石）
422,過期紅銅頭冠（賽黃晶）,过期红铜头冠（赛黄晶）
423,過期棉布頭巾,过期棉布头巾
424,過期棉布頭巾（朱紅）,过期棉布头巾（朱红）
425,過期棉布頭巾（淡黃）,过期棉布头巾（淡黄）
426,過期棉布頭巾（橄欖綠）,过期棉布头巾（橄榄绿）
427,過期棉布頭巾（天藍）,过期棉布头巾（天蓝）
428,過期紅銅開面盔,过期红铜开面盔
429,過期棉布圍巾,过期棉布围巾
430,過期棉布圍巾（朱紅）,过期棉布围巾（朱红）
431,過期棉布圍巾（淡黃）,过期棉布围巾（淡黄）
432,過期棉布圍巾（橄欖綠）,过期棉布围巾（橄榄绿）
433,過期棉布圍巾（天藍）,过期棉布围巾（天蓝）
434,過期棉布貝雷帽,过期棉布贝雷帽
435,過期棉布貝雷帽（橄欖綠）,过期棉布贝雷帽（橄榄绿）
436,過期棉布貝雷帽（朱紅）,过期棉布贝雷帽（朱红）
437,過期棉布貝雷帽（淡黃）,过期棉布贝雷帽（淡黄）
438,過期棉布貝雷帽（天藍）,过期棉布贝雷帽（天蓝）
439,過期青銅角盔,过期青铜角盔
440,過期青銅護目鏡,过期青铜护目镜
441,過期青銅護目鏡（黃色）,过期青铜护目镜（黄色）
442,過期青銅護目鏡（黑色）,过期青铜护目镜（黑色）
443,過期青銅作業眼鏡,过期青铜作业眼镜
444,過期柳木半假面,过期柳木半假面
445,過期焦油草帽,过期焦油草帽
446,過期棉布包頭巾,过期棉布包头巾
447,過期棉布包頭巾（朱紅）,过期棉布包头巾（朱红）
448,過期棉布包頭巾（淡黃）,过期棉布包头巾（淡黄）
449,過期棉布包頭巾（橄欖綠）,过期棉布包头巾（橄榄绿）
450,過期棉布包頭巾（天藍）,过期棉布包头巾（天蓝）
451,過期渡渡鳥皮突騎帽,过期渡渡鸟皮突骑帽
452,過期渡渡鳥皮突騎帽（深黑）,过期渡渡鸟皮突骑帽（深黑）
453,過期棉布狩獵帽,过期棉布狩猎帽
454,過期棉布狩獵帽（朱紅）,过期棉布狩猎帽（朱红）
455,過期棉布狩獵帽（淡黃）,过期棉布狩猎帽（淡黄）
456,過期棉布狩獵帽（橄欖綠）,过期棉布狩猎帽（橄榄绿）
457,過期棉布狩獵帽（天藍）,过期棉布狩猎帽（天蓝）
458,過期青銅騎兵頭盔,过期青铜骑兵头盔
459,過期渡渡鳥皮盔帽,过期渡渡鸟皮盔帽
460,過期渡渡鳥皮盔帽（深黑）,过期渡渡鸟皮盔帽（深黑）
461,過期棉布圓錐帽（朱紅）,过期棉布圆锥帽（朱红）
462,過期棉布圓錐帽（橄欖綠）,过期棉布圆锥帽（橄榄绿）
463,過期棉布圓錐帽（天藍）,过期棉布圆锥帽（天蓝）
464,過期帆布兜帽,过期帆布兜帽
465,過期帆布兜帽（枯黃）,过期帆布兜帽（枯黄）
466,過期帆布兜帽（粉紅）,过期帆布兜帽（粉红）
467,過期帆布兜帽（赭石）,过期帆布兜帽（赭石）
468,過期帆布兜帽（靛藍）,过期帆布兜帽（靛蓝）
469,過期黃銅眼鏡,过期黄铜眼镜
470,過期黃銅眼鏡（黃色）,过期黄铜眼镜（黄色）
471,過期黃銅頭冠（日長石）,过期黄铜头冠（日长石）
472,過期黃銅頭冠（天青石）,过期黄铜头冠（天青石）
473,過期黃銅頭冠（榍石）,过期黄铜头冠（榍石）
474,過期黃銅頭冠（孔雀石）,过期黄铜头冠（孔雀石）
475,過期黃銅頭冠（螢石）,过期黄铜头冠（萤石）
476,過期黃銅頭冠（賽黃晶）,过期黄铜头冠（赛黄晶）
477,過期帆布頭巾,过期帆布头巾
478,過期帆布頭巾（枯黃）,过期帆布头巾（枯黄）
479,過期帆布頭巾（粉紅）,过期帆布头巾（粉红）
480,過期帆布頭巾（赭石）,过期帆布头巾（赭石）
481,過期帆布頭巾（靛藍）,过期帆布头巾（靛蓝）
482,過期青銅開面盔,过期青铜开面盔
483,過期帆布貝雷帽,过期帆布贝雷帽
484,過期帆布貝雷帽（枯黃）,过期帆布贝雷帽（枯黄）
485,過期帆布貝雷帽（粉紅）,过期帆布贝雷帽（粉红）
486,過期帆布貝雷帽（赭石）,过期帆布贝雷帽（赭石）
487,過期帆布貝雷帽（靛藍）,过期帆布贝雷帽（靛蓝）
488,過期黃銅護目鏡（紅色）,过期黄铜护目镜（红色）
489,過期黃銅護目鏡（綠色）,过期黄铜护目镜（绿色）
490,過期衝鋒角盔,过期冲锋角盔
491,過期帆布寬邊帽,过期帆布宽边帽
492,過期帆布寬邊帽（枯黃）,过期帆布宽边帽（枯黄）
493,過期帆布寬邊帽（粉紅）,过期帆布宽边帽（粉红）
494,過期帆布寬邊帽（赭石）,过期帆布宽边帽（赭石）
495,過期帆布寬邊帽（靛藍）,过期帆布宽边帽（靛蓝）
496,過期黑鐵作業眼鏡,过期黑铁作业眼镜
497,過期橡木半假面,过期橡木半假面
498,過期青銅鎖甲頭罩,过期青铜锁甲头罩
499,過期釣魚帽,过期钓鱼帽
500,過期釣魚帽（朱紅）,过期钓鱼帽（朱红）
501,過期釣魚帽（淡黃）,过期钓鱼帽（淡黄）
502,過期釣魚帽（橄欖綠）,过期钓鱼帽（橄榄绿）
503,過期釣魚帽（天藍）,过期钓鱼帽（天蓝）
504,過期牛皮突騎帽（漆黑）,过期牛皮突骑帽（漆黑）
505,過期牛皮突騎帽（赭紅）,过期牛皮突骑帽（赭红）
506,過期牛皮突騎帽（苔綠）,过期牛皮突骑帽（苔绿）
507,過期牛皮突騎帽（深紅）,过期牛皮突骑帽（深红）
508,過期帆布狩獵帽,过期帆布狩猎帽
509,過期帆布狩獵帽（枯黃）,过期帆布狩猎帽（枯黄）
510,過期帆布狩獵帽（粉紅）,过期帆布狩猎帽（粉红）
511,過期帆布狩獵帽（赭石）,过期帆布狩猎帽（赭石）
512,過期帆布狩獵帽（靛藍）,过期帆布狩猎帽（靛蓝）
513,過期黃銅騎兵頭盔,过期黄铜骑兵头盔
514,過期牛皮盔帽（深黑）,过期牛皮盔帽（深黑）
515,過期牛皮盔帽（赭紅）,过期牛皮盔帽（赭红）
516,過期牛皮盔帽（苔綠）,过期牛皮盔帽（苔绿）
517,過期牛皮盔帽（深紅）,过期牛皮盔帽（深红）
518,過期帆布無簷帽,过期帆布无檐帽
519,過期帆布無簷帽（枯黃）,过期帆布无檐帽（枯黄）
520,過期帆布無簷帽（粉紅）,过期帆布无檐帽（粉红）
521,過期帆布無簷帽（赭石）,过期帆布无檐帽（赭石）
522,過期帆布無簷帽（靛藍）,过期帆布无檐帽（靛蓝）
523,過期棉絨兜帽,过期棉绒兜帽
524,過期棉絨兜帽（烏黑）,过期棉绒兜帽（乌黑）
525,過期棉絨兜帽（酒紅）,过期棉绒兜帽（酒红）
526,過期棉絨兜帽（藤黃）,过期棉绒兜帽（藤黄）
527,過期棉絨兜帽（深綠）,过期棉绒兜帽（深绿）
528,過期白銀眼鏡,过期白银眼镜
529,過期白銀眼鏡（黃色）,过期白银眼镜（黄色）
530,過期白銀頭冠（石榴石）,过期白银头冠（石榴石）
531,過期白銀頭冠（海藍石）,过期白银头冠（海蓝石）
532,過期白銀頭冠（金綠柱石）,过期白银头冠（金绿柱石）
533,過期白銀頭冠（橄欖石）,过期白银头冠（橄榄石）
534,過期白銀頭冠（紫水晶）,过期白银头冠（紫水晶）
535,過期白銀頭冠（透綠柱石）,过期白银头冠（透绿柱石）
536,過期黑鐵開面盔,过期黑铁开面盔
537,過期棉絨圍巾,过期棉绒围巾
538,過期棉絨圍巾（烏黑）,过期棉绒围巾（乌黑）
539,過期棉絨圍巾（酒紅）,过期棉绒围巾（酒红）
540,過期棉絨圍巾（藤黃）,过期棉绒围巾（藤黄）
541,過期棉絨圍巾（深綠）,过期棉绒围巾（深绿）
542,過期棉絨貝雷帽,过期棉绒贝雷帽
543,過期棉絨貝雷帽（烏黑）,过期棉绒贝雷帽（乌黑）
544,過期棉絨貝雷帽（酒紅）,过期棉绒贝雷帽（酒红）
545,過期棉絨貝雷帽（藤黃）,过期棉绒贝雷帽（藤黄）
546,過期棉絨貝雷帽（深綠）,过期棉绒贝雷帽（深绿）
547,過期黑鐵護目鏡（紅色）,过期黑铁护目镜（红色）
548,過期黑鐵護目鏡（綠色）,过期黑铁护目镜（绿色）
549,過期黑鐵角盔,过期黑铁角盔
550,過期棉絨寬邊帽,过期棉绒宽边帽
551,過期棉絨寬邊帽（烏黑）,过期棉绒宽边帽（乌黑）
552,過期棉絨寬邊帽（酒紅）,过期棉绒宽边帽（酒红）
553,過期棉絨寬邊帽（藤黃）,过期棉绒宽边帽（藤黄）
554,過期棉絨寬邊帽（深綠）,过期棉绒宽边帽（深绿）
555,過期白銀作業眼鏡,过期白银作业眼镜
556,過期紫杉半假面,过期紫杉半假面
557,過期黑鐵鎖甲頭罩,过期黑铁锁甲头罩
558,過期青銅頭盔,过期青铜头盔
559,過期棉絨包頭巾,过期棉绒包头巾
560,過期棉絨包頭巾（烏黑）,过期棉绒包头巾（乌黑）
561,過期棉絨包頭巾（酒紅）,过期棉绒包头巾（酒红）
